mensagem;sentimento
 Fatima eu fico triste quando o #Fantastico começa no Domingo a noite...kkkk sinal que o Fds acabou!!!!;negativo
 Fico toda emocionada com histórias de adoção. Simplesmente mexe comigo..oh, Deus, dai-me a dádiva de adotar o amor! 😭💙;positivo
 Fiquei sabendo de imã agência de investimentos em Bit cons, será verdade? Alguém já ouviu falar disso?;neutro
 hj me fazendo ter um momento de reflexão;positivo
 hoje está um amor!!😍😍😍;positivo
 hoje está demaisdo 👏;positivo
 homem que é homem ajuda a sua mulher em tudo.;positivo
 já quero o @JoaoVicente27 fixo no encontro. @fbbreal;positivo
 João Vicente de Castro, meu amor supremo.💜;positivo
 Lucy Ramos é muito lindaaaa;positivo
 Marcos estou rindo até agora,muito bom#MarcoseBelutti;positivo
 melhor definição do professor. radicalizar o racismo é cegueira. e radicalismo @EncontroFatima;positivo
 Melhor progama do momento;positivo
 MEU DEUS  que família linda #novefilhos;positivo
 meu filho tem 8 anos, aficcionados por games e muitas vezes ele opta pelo personagem feminino sem neuras.;neutro
 Meu marido tem 60 anos, e eu estou com 21, estamos juntos á 2 anos.;neutro
 Meu pai teve 8 irmãos, minha mãe 9, eu Jesue tive 4 irmãos, eu tive 2 filhos, tempos diferentes.;neutro
 Miriam parabéns por todas as suas colocações. Vou comprar seu livro! 👏👏👏👏👏;positivo
 Muito fã dessas duas. São lindas demais Irmãs Galvão 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍;positivo
 na boa o povo está demaisticando a familia e tals, mais eles parece super centrados e bem educados e organizados ,e são lindos.Parabens;positivo
 na vdd quando as pessoas se apaixonam e só vai ver a idade depois ai isso não importa mais 😍;positivo
 não creio que falaram isso;negativo
 Nando Reis hoje e Arnaldo Antunes amanhã. Completa com Titãs na Segunda, Miklos na Terça e Panamericana Quarta Feira.;positivo
 noticia falsa é horrível e quando vc entra em contato com servidor onde sua imagem esta sendo denegrida e o mesmo não tira do ar;negativo
 o desembargador e a menina são centrados. Não ficam com vitimismo. O problema existe e deve ser tratado.;positivo
 o negão cortou Fátima legal;negativo
 o que é mais ridículo é esse programa forçar um tema como feminismo que no qual é muito discutido só para ganhar audiência;negativo
 o rapaz do casal (com diferença de idade) parece demais o Johnny Deep.;neutro
 olha o machismo aí. Homem que é homem de verdade ajuda dentro de casa até mesmo na hora de decidir a roupa que a mulher vai usar.;negativo
 pais relatam que filhos sofrem bullying por passar nudes próprios e o culpado é quem compartilha? É sério? #InversãoDeValores;negativo
 para morre;negativo
 Polícia é sacerdócio...Deus na frente sempre...heroísmo é nato!!! A gente não pensa simplesmente age!!!;positivo
 Porque não faz em vez de nascimentos, falecimentos?;neutro
 preferia a Eidy antes na 1°foto q mostrou, cabelo ondulado lindo! Traços delicados... Mas sevela esta feliz bom p ela 😉👍;positivo
 q roupa horrorosa e cabelo nem se fala dessa cantora aí;negativo
 quando o Guilherme Arantes começou a cantar essa música, saí correndo pra aumentar o volume;positivo
 que homem escroto da porra;negativo
 Que horror esse Arnaldo. Vergonha alheia dessa música.;negativo
 Quem é simone e simara perto das Irmãs Galvao nos anoa 70 kkkkkk;negativo
 Quem não faltou a escola conhece tais explicações lógicas e destruidoras de conceitos sociológicos hipócritas.;neutro
 Raramente têm um assunto interessante sendo abordado. Eu realmente esperava mais da Fátima Bernardes.;negativo
 rouba 3min, todo dia do jornal local. coloco na globo 10min depois da 12h pra n corre riscos. prefiro desencontrar #GloboGolpista;negativo
 Se o dia estiver com um SOL lindo ou CHUVOSO agradeço dizendo obrigado por mais um DIA LINDO ILUMINADO e ABENÇOADO booommm diiaa;positivo
 sensacional o programa..parabéns;positivo
 seu programa esta show!!!;positivo
 Sobre dizer eu te amo : EU TE AMO CARAI !;neutro
 Socorroooooooo que mundo que esse homem vive?! #Machista;negativo
 sou 15 anos mais velho que minha esposa vivemos super bem Vladimir bh;positivo
 sou apaixonado por esses assuntos de adotar,já até discuti com amigos por apoiar,mas eu amo e não vejo a hora de poder adotar 😍;positivo
 Sou casado há 15 anos.A minha esposa é 10 anos mais velha. (53 eu 43)Temos uma filha de 15 anos e somos muito felizes.;negativo
 Sou Professor do Curso de Direito e quando pergunto no 1° período quem acredita na justiça? Em uma turma de 50, 45 não acreditam.;negativo
 está demaisto forçado esse programa para;negativo
 tbm é cultura, parabéns Fátima e convidados.Xande eu amo suas músicas e a pessoa q vc é bjsssss.;positivo
 tem alimentos q contém transmissores q ativam o bem estarComo gengibre, banana, coco, pimenta, queijo e sol;neutro
 tema ótimo. Já  vi apresentadora de TV  dizer q depois de certa idade não se deve usar roupa de cocótinha;neutro
 Tenho espírito aventureiro só não tenho espírito do dinheiro kkkkkkkk #AmandoOPrograma #AproveitandoOAtestadoMedico kkk;neutro
 to ligada;neutro
 toda vez que esse menino das orquídeas vai no encontro eu me sinto burra pá caralho.;positivo
 todo mundo ta vendo que esse cara foi pago pra falar merda... Só pra alimentar as feministas que precisar se empoderar;negativo
 um sonho de princesa esse Horizon;positivo
 uso biquíni e se reclamar uso fio dental. Uso shorts e sais e vestidos curtos. E pretendo usar por muito tempo.;neutro
 Viva hj tem Sandy....;positivo
 vou dar uma educação completamente diferente ao meu filho. Acho ridículo essa atitude.  Vai morrer solteiro...;negativo
Homem que é homem não lava a louça""Eduardo, vc pode ser tudo, menos homem de verdade, vc é só um babaca machista msm , CRESCE.";negativo
concordo que deva ter eleições diretas, mas que os candidatos não estejam sendo alvos de investigações!;neutro
poderia não ter fim esse programa de hoje...;positivo
É uma questão bem cultural mesmo. ""Eu amo você"" se torna inexpressiva. Educação, regionalismo, tudo influi.";positivo
Bom dia! @fbbreal . Que bom ver @TiagoLeifert ! Meu companheiro de Big Brother. Ele, na telinha, eu, aqui, no meu sofá.;positivo
Bom diaa  @fbbreal ! E Bom diaa pra esta criatura linda, @SandyLeah . Sempre gentil. Educação é tudo. ❤🌷;positivo
Crianças são tão verdadeiras! Nós,  adultos, as transformamos.;positivo
Eu, há muito faço permanente nos meus cabelos para que eles fiquem pixaim. Só há 6 anos não faço, depois do AVC.;neutro
Já vi este vídeo da Sheron. Lindo!;positivo
Lindo, como Fabrício pegou o doce. Ambas as mãos embaixo do mesmo. Um gesto de respeito, com certeza.;positivo
Muito importante!  A Regra se impõe.  Parceria é tudo.;positivo
Novela que rei sou eu...ri demais!;positivo
O  maior  preconceito contra a mulher vem da própria mulher. Resultado = INVEJA.  Desejo  de ser igual à outra.;negativo
Está demaiso azul, com essa moça.  Hahahaha!;neutro
Ele não lava louça porque é homem ele não lava porque não tem coragem assim como muitas mulheres não lava, porque não tem coragem;neutro
Eu não posso me beijar, mas você podeReflita;positivo
Eu sou contra a cotas para negros, Porque na minha opinião isso é uma forma de preconceito e desvalorização da capacidade intelectual.;negativo
Independente da criação passada , o problema é que eles não tem maturidade pra lidar com a evolução .;negativo
Irmãs Galvão me levou de volta ao sítio que morei , viagem nostálgica !!,😊😊;positivo
Meu problema é que não consigo me apaiconar de verdade;neutro
Põe o celular no silencioso vc está demaisVIVO ou então desliga isso;negativo
Tenho um bloqueio enorme com sentimentos;neutro
#EquipeAzul tô na sua torcida mas está demaisícil migues... ;positivo
#EquipeVermelha vai beijar a lona mais uma vez ;neutro
#EuNãoComo nada daquelas vísceras nojentas do último  😣😖;negativo
#FicaVictorB tu não vá estragar essas sardinhas geniais ;neutro
#FicaYoku Ela é a melhor ;positivo
#FicaYuko a melhor do ;positivo
#FicaYuko Porque o  sem você não tem graça!!!;negativo
"#ficaYuko quero essa ""sardinhada""";positivo
#JN faz logo um link Ao Vivo com a Ana Maria e o @Louro_Jose Porque já vai começar o ;neutro
#JuJuNaTrip no  Às viagens dela são maravilhosas;positivo
#Jujunatrip no  Família linda!!! Sou fã!!! ❤❤❤;positivo
#KikoMascarenhas Você também é ótimo! Uma parceria de sucesso com a @taisdeverdade ;positivo
#MaiaraeMaraisaNoBial Rindo muito;positivo
Ana manda um beijo pra minha mãe, Dona Odaléa ela tem 84 anos, e não perde um programa seu! Bjs;positivo
Sigam o casal campeão do Power Couple da Record  @casalkamikaze Casal Poderoso!;neutro
Ana Maria me doa seu pijama?;positivo
Ana Maria vem de pônei segunda feira;neutro
@danstulbach casa comigo???;positivo
acho q o Pikachu atacou Ana Maria 😨;negativo
acho q sou a única pessoa q odeia açaí;neutro
alguém sabe se chef Erick tem tt?;neutro
Ana Maria eu te amo-a 😍😍;positivo
Ana Maria nunca viu um ferro de passar...afff...;negativo
Ana Maria o FGTS não é Descontado do salário.  Só é informado.  Descontado e repassado é o valor do INSS.;neutro
bom dia;neutro
Bom Dia Viviane Pasmanter Parabéns pelo trabalho!!!!!;positivo
com um pijama desse quem precisa de cobertor??;neutro
Deus do céu 😨😨 eu n disse q ela ia tentar suicídio?😱😱;negativo
Erick é lindo e engraçado 😍😍😍;positivo
essa cena é tão 😢😢😢😢;negativo
essa cena da lata foi hilaria kkkk;positivo
eu n posso ver essas máquinas,q da vontade ter tds;positivo
eu quero um pijama de unicórnio tbm 😔;positivo
fantástica a iniciativa da Tânia! Calço 34 e é muito difícil achar calçados para festa. Vou virar cliente já.#;positivo
fgts não é descontado do salário;neutro
gente como eu venero essa mulher HAHAHAAHAHAHAHA;positivo
gente,Viviane so mas planilhas;neutro
Germana e Licurgo no café da manhã uebaaaa;positivo
Gosto muito deles esse é o humor que o Brasil gosta.;positivo
hambúrguer doce?Cruz credo 😒;negativo
hummm aquela barca com essa batatinha gordurosa e calabresa delicious;positivo
Louro, ajuda aí, estão destruindo a pantufa da Ana Maria. Kkkkkk;neutro
manda esse cara voltar pro Bola da Vez na Espn;negativo
milkshake de limão siciliano deve ser ótimo,adoro um azedinho;positivo
Ana Maria está parecendo uma caricatura 😨;negativo
Ana Maria minha filha,o q aconteceu com suas sobrancelhas?;neutro
Ana Maria,faz um quadro de namoro com Erick??;neutro
Ana Maria,o q fizeram com vc mulher?;neutro
o Brasil e o pais mais rico do mundo, tanto ladrao saqueando o governo e o Brasil ainda esta de pe;negativo
o que está demaisntecendo com Ana Maria?;neutro
onde encontro um pijama de unicórnio?preciso de um antes q o inverno acabe;neutro
pombo a passarinho 😂😂😂😂;neutro
porca miseria 😱 quanto óleo 😱😱;negativo
Que Lindo, quando fiquei sabendo que essa dupla iria ao seu programa Ana não fui nem trabalhar da para acreditar.;positivo
